ticker,timestamp,open,high,low,close,volume
AAPL,2024-01-02 09:30:00,185.50,186.00,185.00,185.75,1000000
AAPL,2024-01-02 10:00:00,185.75,186.25,185.50,186.00,950000
AAPL,2024-01-02 11:00:00,186.00,186.50,185.75,186.25,850000
AAPL,2024-01-03 09:30:00,186.25,187.00,186.00,186.75,1100000
AAPL,2024-01-03 10:00:00,186.75,187.25,186.50,187.00,980000
AAPL,2024-01-03 11:00:00,187.00,187.50,186.75,187.25,880000
AAPL,2024-01-04 09:30:00,187.25,188.00,187.00,187.75,1050000
AAPL,2024-01-04 10:00:00,187.75,188.25,187.50,188.00,920000
AAPL,2024-01-04 11:00:00,188.00,188.50,187.75,188.25,820000
AAPL,2024-01-05 09:30:00,188.25,189.00,188.00,188.75,1020000
GOOGL,2024-01-02 09:30:00,140.00,140.50,139.50,140.25,800000
GOOGL,2024-01-02 10:00:00,140.25,140.75,140.00,140.50,750000
GOOGL,2024-01-02 11:00:00,140.50,141.00,140.25,140.75,700000
GOOGL,2024-01-03 09:30:00,140.75,141.25,140.50,141.00,850000
GOOGL,2024-01-03 10:00:00,141.00,141.50,140.75,141.25,780000
GOOGL,2024-01-03 11:00:00,141.25,141.75,141.00,141.50,720000
GOOGL,2024-01-04 09:30:00,141.50,142.00,141.25,141.75,830000
GOOGL,2024-01-04 10:00:00,141.75,142.25,141.50,142.00,770000
GOOGL,2024-01-04 11:00:00,142.00,142.50,141.75,142.25,710000
GOOGL,2024-01-05 09:30:00,142.25,142.75,142.00,142.50,810000
MSFT,2024-01-02 09:30:00,375.00,376.00,374.00,375.50,600000
MSFT,2024-01-02 10:00:00,375.50,376.50,375.00,376.00,550000
MSFT,2024-01-02 11:00:00,376.00,377.00,375.50,376.50,500000
MSFT,2024-01-03 09:30:00,376.50,377.50,376.00,377.00,650000
MSFT,2024-01-03 10:00:00,377.00,378.00,376.50,377.50,580000
MSFT,2024-01-03 11:00:00,377.50,378.50,377.00,378.00,520000
MSFT,2024-01-04 09:30:00,378.00,379.00,377.50,378.50,630000
MSFT,2024-01-04 10:00:00,378.50,379.50,378.00,379.00,570000
MSFT,2024-01-04 11:00:00,379.00,380.00,378.50,379.50,510000
MSFT,2024-01-05 09:30:00,379.50,380.50,379.00,380.00,620000
